n_participant,group,age,gender,class,pre_test_order,version ,primary,schelling,cq_cv,cv_1,cv_2,cv_3,cv_4,cv_5,cq_fcv,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,coarse_visual_1,coarse_visual_2,coarse_visual_3,coarse_visual_4,coarse_visual_5,Coarse_Visual_Mean,Y2_Coarse_Visual_Mean,forced_choice_1,forced_choice_2,forced_choice_3,forced_choice_4,forced_choice_5,Y2_Forced_Choice_Verbal_Mean,adult_coarse_visual_1,adult_coarse_visual_2,adult_coarse_visual_3,adult_coarse_visual_4,adult_coarse_visual_5,Adults_Coarse_Visual_Mean,adult_forced_choice_5,adult_forced_choice_1,adult_forced_choice_2,adult_forced_choice_3,adult_forced_choice_4,Adult_Forced_Choice_Verbal_Mean,crossed_coarse_visual_1,crossed_coarse_visual_2,crossed_coarse_visual_3,crossed_coarse_visual_4,crossed_coarse_visual_5,crossed_forced_choice_1,crossed_forced_choice_2,crossed_forced_choice_3,crossed_forced_choice_4,crossed_forced_choice_5,Crossed_Coarse_Visual_Mean,Crossed_Forced_Choice_Verbal_Mean
1,year_two,87,male,b,a,1,c,b,b,a,a,a,a,a,teacher,banana,bird,teddy,boat,dog,0.390243902,0.292682927,0.487804878,0.609756098,0.268292683,0.409756098,0.495934959,0.756097561,0.146341463,0.317073171,0.195121951,0.048780488,0.292682927,,,,,,,,,,,,,0.608695652,0.304347826,0.608695652,0.652173913,0.47826087,0.869565217,0.043478261,0.130434783,0.043478261,0,0.623188406,0.218181818
2,year_two,80,male,b,b,2,c,b,a,a,d,b,d,c,teacher,chair,ball,teddy,shell,trees,0.390243902,0.170731707,0.219512195,0.073170732,0.170731707,0.204878049,0.227642276,0.195121951,0.12195122,0.317073171,0.292682927,0.048780488,0.195121951,,,,,,,,,,,,,0.608695652,0.130434783,0.130434783,0.086956522,0.130434783,0.086956522,0,0.130434783,0.782608696,0.217391304,0.275362319,0.254545454
3,year_two,82,female,b,a,2,c,b,a,b,c,b,c,d,teacher,banana,fence,pillow,shell,swings,0.12195122,0.073170732,0.219512195,0.195121951,0.317073171,0.185365854,0.178861789,0.756097561,0.243902439,0.634146341,0.292682927,0.756097561,0.536585366,,,,,,,,,,,,,0.043478261,0.043478261,0.130434783,0.043478261,0.130434783,0.869565217,0.347826087,0.695652174,0.782608696,0.173913043,0.072463768,0.590909091
6,year_two,76,female,b,b,2,c,b,a,a,b,a,a,a,teacher,banana,tree,pillow,starfish,swings,0.390243902,0.390243902,0.487804878,0.609756098,0.268292683,0.429268293,0.495934959,0.756097561,0.414634146,0.634146341,0.341463415,0.756097561,0.580487805,,,,,,,,,,,,,0.608695652,0.391304348,0.608695652,0.652173913,0.47826087,0.869565217,0.52173913,0.695652174,0,0.173913043,0.623188406,0.454545455
7,year_two,85,male,b,a,1,c,b,c,a,a,a,a,a,teacher,banana,bird,teddy,starfish,swings,0.390243902,0.292682927,0.487804878,0.609756098,0.268292683,0.409756098,0.495934959,0.756097561,0.146341463,0.317073171,0.341463415,0.756097561,0.463414634,,,,,,,,,,,,,0.608695652,0.304347826,0.608695652,0.652173913,0.47826087,0.869565217,0.043478261,0.130434783,0,0.173913043,0.623188406,0.245454545
8,year_two,84,female,b,b,1,c,b,a,d,b,c,a,d,teacher,chair,fence,pillow,boat,swings,0.170731707,0.390243902,0.097560976,0.609756098,0.317073171,0.317073171,0.292682927,0.195121951,0.243902439,0.634146341,0.195121951,0.756097561,0.404878049,,,,,,,,,,,,,0,0.391304348,0.173913043,0.652173913,0.130434783,0.086956522,0.347826087,0.695652174,0.043478261,0.173913043,0.275362319,0.281818182
9,year_two,76,male,b,a,1,c,b,a,d,a,c,a,b,teacher,banana,ball,teddy,boat,swings,0.170731707,0.292682927,0.097560976,0.609756098,0.170731707,0.268292683,0.292682927,0.756097561,0.12195122,0.317073171,0.195121951,0.756097561,0.429268293,,,,,,,,,,,,,0,0.304347826,0.173913043,0.652173913,0.130434783,0.869565217,0,0.130434783,0.043478261,0.173913043,0.275362319,0.245454545
10,year_two,86,male,b,b,2,c,b,b,c,a,d,a,c,teacher,chair,tree,teddy,boat,swings,0.243902439,0.292682927,0.12195122,0.609756098,0.170731707,0.287804878,0.325203252,0.195121951,0.414634146,0.317073171,0.195121951,0.756097561,0.375609756,,,,,,,,,,,,,0.217391304,0.304347826,0,0.652173913,0.130434783,0.086956522,0.52173913,0.130434783,0.043478261,0.173913043,0.289855072,0.190909091
12,year_two,84,female,b,b,1,c,b,b,a,d,a,a,d,teacher,banana,tree,pillow,shell,dog,0.390243902,0.170731707,0.487804878,0.609756098,0.317073171,0.395121951,0.495934959,0.756097561,0.414634146,0.634146341,0.292682927,0.048780488,0.429268293,,,,,,,,,,,,,0.608695652,0.130434783,0.608695652,0.652173913,0.130434783,0.869565217,0.52173913,0.695652174,0.782608696,0,0.623188406,0.581818182
13,year_two,78,male,b,a,1,c,b,a,b,a,b,a,a,teacher,banana,bird,pillow,ice cream,swings,0.12195122,0.292682927,0.219512195,0.609756098,0.268292683,0.302439024,0.317073171,0.756097561,0.146341463,0.634146341,0.097560976,0.756097561,0.47804878,,,,,,,,,,,,,0.043478261,0.304347826,0.130434783,0.652173913,0.47826087,0.869565217,0.043478261,0.695652174,0.043478261,0.173913043,0.275362319,0.363636364
14,year_two,79,female,b,b,2,c,b,a,a,c,d,a,d,teacher,banana,bird,teddy,shell,swings,0.390243902,0.073170732,0.12195122,0.609756098,0.317073171,0.302439024,0.37398374,0.756097561,0.146341463,0.317073171,0.292682927,0.756097561,0.453658537,,,,,,,,,,,,,0.608695652,0.043478261,0,0.652173913,0.130434783,0.869565217,0.043478261,0.130434783,0.782608696,0.173913043,0.420289855,0.409090909
15,year_two,79,male,b,a,2,c,b,b,a,b,d,a,b,teacher,banana,tree,teddy,starfish,swings,0.390243902,0.390243902,0.12195122,0.609756098,0.170731707,0.336585366,0.37398374,0.756097561,0.414634146,0.317073171,0.341463415,0.756097561,0.517073171,,,,,,,,,,,,,0.608695652,0.391304348,0,0.652173913,0.130434783,0.869565217,0.52173913,0.130434783,0,0.173913043,0.420289855,0.336363636
16,year_two,80,female,b,b,1,c,b,a,c,d,b,c,b,teacher,banana,tree,pillow,starfish,swings,0.243902439,0.170731707,0.219512195,0.195121951,0.170731707,0.2,0.219512195,0.756097561,0.414634146,0.634146341,0.341463415,0.756097561,0.580487805,,,,,,,,,,,,,0.217391304,0.130434783,0.130434783,0.043478261,0.130434783,0.869565217,0.52173913,0.695652174,0,0.173913043,0.130434783,0.454545455
17,year_two,78,male,b,a,1,c,b,a,a,b,a,a,d,teacher,banana,tree,teddy,shell,swings,0.390243902,0.390243902,0.487804878,0.609756098,0.317073171,0.43902439,0.495934959,0.756097561,0.414634146,0.317073171,0.292682927,0.756097561,0.507317073,,,,,,,,,,,,,0.608695652,0.391304348,0.608695652,0.652173913,0.130434783,0.869565217,0.52173913,0.130434783,0.782608696,0.173913043,0.623188406,0.5
18,year_two,78,male,b,b,2,c,b,b,c,d,b,c,b,teacher,banana,ball,pillow,ice cream,swings,0.243902439,0.170731707,0.219512195,0.195121951,0.170731707,0.2,0.219512195,0.756097561,0.12195122,0.634146341,0.097560976,0.756097561,0.473170732,,,,,,,,,,,,,0.217391304,0.130434783,0.130434783,0.043478261,0.130434783,0.869565217,0,0.695652174,0.043478261,0.173913043,0.130434783,0.354545455
19,year_two,85,male,b,a,2,c,b,a,c,b,d,d,b,teacher,banana,ball,teddy,shell,swings,0.243902439,0.390243902,0.12195122,0.073170732,0.170731707,0.2,0.146341463,0.756097561,0.12195122,0.317073171,0.292682927,0.756097561,0.448780488,,,,,,,,,,,,,0.217391304,0.391304348,0,0.086956522,0.130434783,0.869565217,0,0.130434783,0.782608696,0.173913043,0.101449275,0.4
